Dataset,Model,Accuracy,Macro-F1,AUPRC,FAR,MCC,Coverage,APSS,SHP,Cov-Gap,Time(s),Rule-Fidelity,Rule-Complexity,Expl-Stability
CTU-13,gcn,0.7708333333333334,0.6273609189254853,0.8523627279819722,0.009836065573770493,0.673713229017317,,,,,2.9761221408843994,,,
CTU-13,sage,0.9125,0.836590675042139,0.999416449008074,0.0,0.8794613200741812,,,,,2.360720157623291,,,
N-BaIoT,fc_gnn,1.0,1.0,1.0,0.0,1.0,0.9158333333333334,0.9158333333333334,0.9158333333333334,0.05999999999999994,11.422046899795532,0.13166666666666665,0.0,0.8287755102040817
N-BaIoT,cfgnn,0.9208333333333333,0.8777108558068413,1.0,0.0,0.9114755360662401,0.9158333333333334,0.9158333333333334,0.9158333333333334,0.0,3.115295886993408,,,
N-BaIoT,daps,0.9225,0.9322567907390219,0.978417991972979,0.03867403314917127,0.9099278600241919,0.8025,0.835,0.8016666666666666,0.0,3.333164930343628,,,
N-BaIoT,rrgnn,0.9208333333333333,0.8768685261941821,1.0,0.0,0.9114081240487839,0.9058333333333334,1.8433333333333333,0.7991666666666667,0.09999999999999998,3.529618740081787,,,
N-BaIoT,snaps,0.9225,0.9322567907390219,0.978417991972979,0.03867403314917127,0.9099278600241919,0.9041666666666667,0.9325,0.8983333333333333,0.0,3.5689809322357178,,,
N-BaIoT,flgnn,1.0,1.0,1.0,0.0,1.0,,,,,12.860599040985107,,,
N-BaIoT,fgat,1.0,1.0,1.0,0.0,1.0,,,,,18.268414974212646,,,
N-BaIoT,gcn,0.9225,0.9322567907390219,0.978417991972979,0.03867403314917127,0.9099278600241919,,,,,3.078281879425049,,,
N-BaIoT,sage,0.9208333333333333,0.8777108558068413,1.0,0.0,0.9114755360662401,,,,,3.023427963256836,,,
ToN-IoT,fc_gnn,0.8616666666666667,0.7476691790128922,0.9978203118550013,0.0,0.8394901990405674,0.8866666666666667,1.1508333333333334,0.8033333333333333,0.05833333333333335,11.183825016021729,0.013333333333333334,0.0,0.6580487804878048
ToN-IoT,cfgnn,0.9366666666666666,0.916631064277398,0.9995169925512105,0.0,0.9252787048528521,0.8941666666666667,0.9008333333333334,0.8941666666666667,0.0,2.7198290824890137,,,
ToN-IoT,daps,0.8408333333333333,0.8129788761806775,0.9436776420484032,0.020833333333333332,0.8119775585909891,0.8033333333333333,1.0533333333333332,0.7366666666666667,0.0,3.316920757293701,,,
ToN-IoT,rrgnn,0.9558333333333333,0.9494563547079388,0.9995265151515152,0.0,0.9474856201027866,0.9158333333333334,1.4341666666666666,0.8375,0.056834532374100744,3.061739921569824,,,
ToN-IoT,snaps,0.8408333333333333,0.8129788761806775,0.9436776420484032,0.020833333333333332,0.8119775585909891,0.8666666666666667,0.9733333333333334,0.8391666666666666,0.0,3.718329668045044,,,
ToN-IoT,flgnn,1.0,1.0,1.0,0.0,1.0,,,,,12.52206015586853,,,
ToN-IoT,fgat,0.9991666666666666,0.999278064538783,1.0,0.0023148148148148147,0.9989904464946744,,,,,14.019084930419922,,,
ToN-IoT,gcn,0.8408333333333333,0.8129788761806775,0.9436776420484032,0.020833333333333332,0.8119775585909891,,,,,2.1313390731811523,,,
ToN-IoT,sage,0.9366666666666666,0.916631064277398,0.9995169925512105,0.0,0.9252787048528521,,,,,1.665999174118042,,,
